,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF,HOOD,BLND,WPLCF,TOST,RELY,BKKT,NRDS,NU,AVDX,DAVE,EXFY
2015-01-02,,,,,,,,,,,,,,,2740898529.301783,,11149096365.483355,,,1117294095.8432527,,,,,,,,,6412134800.266499,,,,,,,,,,,1095318011.0017202,,,,,,,,,,1910037566.0492687,,,,,,,,,,,
2015-01-05,,,,,,,,,,,,,,,2698177480.215072,,10668289101.704527,,,1099166909.8245943,,,,,,,,,6333161917.497666,,,,,,,,,,,1093578561.328157,,,,,,,,,,1910037566.0492687,,,,,,,,,,,
2015-01-06,,,,,,,,,,,,,,,2643089715.7258396,,10554765180.14817,,,1095321765.0285664,,,,,,,,,6220051249.510543,,,,,,,,,,,1061687286.6321368,,,,,,,,,,1910037566.0492687,,,,,,,,,,,
2015-01-07,,,,,,,,,,,,,,,2734153145.642172,,10625996431.018003,,,1093124479.5609288,,,,,,,,,6207822103.413952,,,,,,,,,,,1084301127.7500465,,,,,,,,,,1934486023.578811,,,,,,,,,,,
2015-01-08,,,,,,,,,,,,,,,2819033432.289124,,10841913789.710447,,,1113448951.0472248,,,,,,,,,6300553217.303301,,,,,,,,,,,1123150422.3317835,,,,,,,,,,1934486023.578811,,,,,,,,,,,
2015-01-09,,,,,,,,,,,,,,,2844890915.0108676,,10651223717.545567,,,1094772443.661657,,,,,,,,,6230750525.228805,,,,,,,,,,,1105755151.4260273,,,,,,,,,,1934486023.578811,,,,,,,,,,,
2015-01-12,,,,,,,,,,,,,,,2816222659.201729,,10492438543.251019,,,1097518945.7238662,,,,,,,,,6128339918.314346,,,,,,,,,,,1105755151.4260273,,,,,,,,,,1879476994.1373408,,,,,,,,,,,
2015-01-13,,,,,,,,,,,,,,,2867375598.686865,,10525827732.147182,,,1096420302.9900475,,,,,,,,,6113055350.9103155,,,,,,,,,,,1073863987.3257391,,,,,,,,,,1879476994.1373408,,,,,,,,,,,
2015-01-14,,,,,,,,,,,,,,,2835334758.2638607,,10372235878.169567,,,1090377977.4987197,,,,,,,,,6039176276.803621,,,,,,,,,,,1095318011.0017202,,,,,,,,,,1958934481.1083531,,,,,,,,,,,
2015-01-15,,,,,,,,,,,,,,,2743709302.389178,,10215676574.322609,,,1038742921.5049541,,,,,,,,,5955618102.349021,,,,,,,,,,,1052989706.4771246,,,,,,,,,,1910037566.0492687,,,,,,,,,,,
